no,male,female,age,regular,daytime,others,enrolement  year,attendance,last month attendance,2 months ago attendance,3 months ago attendance,withdrawal,enrollement
1,0,1,67,1,0,0,0,0,0,0,0,0,1
2,0,1,65,1,0,0,2,216,8,6,4,0,1
3,0,1,76,0,1,0,2,306,10,11,8,0,1
4,0,1,61,1,0,0,2,162,7,6,6,0,1
5,1,0,75,1,0,0,2,264,11,11,7,0,1
6,0,1,81,1,0,0,2,399,16,15,13,0,1
7,1,0,27,1,0,0,2,304,10,13,7,0,1
8,1,0,76,1,0,0,2,171,3,7,3,0,1
9,1,0,38,1,0,0,2,1,0,0,0,0,1
10,0,1,69,1,0,0,2,492,12,13,11,0,1
11,0,1,61,1,0,0,2,369,14,11,12,0,1
12,0,1,55,1,0,0,2,167,13,11,7,0,1
13,0,1,70,1,0,0,2,475,22,17,17,0,1
14,0,1,78,1,0,0,2,304,15,14,9,0,1
15,0,1,73,0,1,0,2,481,21,21,19,0,1
16,1,0,54,1,0,0,2,50,3,1,1,0,1
17,1,0,49,1,0,0,2,37,0,0,0,0,1
18,1,0,47,1,0,0,2,128,5,6,3,0,1
19,1,0,40,1,0,0,2,128,3,5,2,0,1
20,0,1,49,1,0,0,2,38,2,4,1,0,1
21,0,1,66,1,0,0,2,264,11,11,9,0,1
22,0,1,51,1,0,0,2,320,14,14,7,0,1
23,0,1,74,1,0,0,2,377,16,17,13,0,1
24,0,1,53,1,0,0,2,237,10,7,7,0,1
25,0,1,61,1,0,0,2,595,26,23,21,0,1
26,0,1,71,1,0,0,2,588,25,26,19,0,1
27,0,1,61,0,1,0,2,296,11,13,10,0,1
28,1,0,73,1,0,0,2,439,18,20,15,0,1
29,0,1,73,1,0,0,2,207,0,0,0,0,1
30,1,0,37,1,0,0,2,42,0,0,0,0,1
31,0,1,71,1,0,0,2,504,23,22,24,0,1
32,1,0,67,1,0,0,2,299,13,9,10,0,1
33,0,1,78,1,0,0,2,262,6,14,8,0,1
34,0,1,78,1,0,0,2,543,23,25,20,0,1
35,0,1,66,1,0,0,2,303,12,11,13,0,1
36,0,1,71,1,0,0,2,477,17,16,14,0,1
37,0,1,49,1,0,0,2,97,2,3,6,0,1
38,0,1,84,1,0,0,2,292,12,17,15,0,1
39,1,0,61,1,0,0,2,429,16,16,15,0,1
40,0,1,58,1,0,0,2,417,17,15,17,0,1
41,0,1,37,1,0,0,2,562,23,22,19,0,1
42,1,0,53,1,0,0,2,0,0,0,0,0,1
43,1,0,77,0,1,0,2,459,20,14,14,0,1
44,0,1,66,1,0,0,2,332,14,16,10,0,1
45,1,0,71,1,0,0,2,428,9,13,9,0,1
46,1,0,67,1,0,0,2,560,22,23,21,0,1
47,0,1,82,1,0,0,2,654,24,26,25,0,1
48,0,1,73,1,0,0,2,251,19,12,12,0,1
49,1,0,67,1,0,0,2,628,27,23,23,0,1
50,1,0,71,1,0,0,2,501,21,20,22,0,1
51,0,1,76,1,0,0,2,622,27,23,23,0,1
